LakeID,Latitude,Longitude,Depth,Area,DistanceToTheSea,N,P,SiO2,DOC,ODO,pH,Cond,Sal,Temp,LOI,SandGrains
SGL07,47.09071,-55.68565,1.2,43.9,25,0.6,0.056,0.2,4,128.6,8.04,39752.8,28.92,19.27,40.61955469506313,3
SGL06,47.10508,-55.62524,0.9,27,50,0.5,0.006,2.1,7,38.1,7.19,38805.8,28.39,18.89,31.37679732125307,5
SGL05,47.12899,-55.51227,3.5,29.2,627.18,0.4,0.005,5.2,6,98.9,7.31,80.9,0.04,20.78,31.50645208061455,1
SGL109,47.1528,-55.47696,2.5,14.1,50.76,0.7,0.032,4,25,90.8,5.73,50.2,0.02,20.67,9.385934819896685,1
SGL02,47.19164,-55.43369,0.9,8.8,35,0.8,0.039,3,26,92.7,6.66,4136.8,2.31,22.56,58.6979496935106,4
SGL110,47.12085,-55.54853,0.4,0.3,1255.17,0.5,0.007,5.4,6,98.6,6.77,45.7,0.02,20.11,26.32549562010244,4
SGL111,47.10989,-55.57797,0.3,0.07,1046.9,0.5,0.013,4.4,6,103.6,6.26,90.6,0.04,22.78,37.57569319026921,22
SGL112,47.0969,-55.65522,0.5,2.3,939.39,0.5,0.008,3.5,9,105.4,7.48,77.7,0.04,23.05,26.739850869925412,5
SGL113,46.89979,-55.93596,0.5,1.6,11.62,0.5,0.014,1.6,12,93.2,6.4,212.5,0.1,23.5,6.706599088721666,26465
SGL114,46.89536,-55.93505,0.8,0.2,22.95,1.8,0.165,3,38,88.1,7.04,1339.6,0.68,23.94,66.71969455933696,4
SGL115,46.90731,-55.94973,0.8,0.5,18.19,1.1,0.069,2,27,76.6,6.86,136.4,0.07,20.78,37.08333333333384,9
TL27,46.89199,-55.89994,0.6,1.9,28.24,1.6,0.13,3,38,76.2,6.54,287,0.15,21,69.15367483296161,0
SGL116,46.88721,-55.87735,0.4,0.4,401.25,1.3,0.04,3,45,50.7,6.37,92.7,0.05,20.61,49.64412811387984,2
SGL118,46.90722,-55.39996,1.3,9.8,854.17,0.5,0.005,2.7,10,97.5,7.85,141.4,0.07,21.39,33.14820228003516,0
SGL119,46.89475,-55.39602,0.8,18.9,716.43,0.4,0.008,2.7,7,105.7,8.01,130.8,0.06,22.1,3.646458583433408,3
SGL120,46.89299,-55.41082,0.6,1.9,1248.69,0.7,0.016,4.1,23,95.9,7.1,89.6,0.04,21.1,34.078431372548906,0
SGL121,46.90871,-55.41622,0.85,0.5,2047.34,1,0.026,5.4,18,92.8,6.89,80.3,0.04,20.9,37.213565536205714,1
SGL122,46.87534,-55.69045,1.4,1.7,447.99,0.6,0.02,0.7,15,85.7,7.01,143.2,0.07,21.05,47.34455958549265,0
SGL123,46.87708,-55.67191,1.2,0.6,30,1.1,0.077,4,30,75.9,6.49,98.7,0.05,18.33,44.2350956130483,27
SGL124,46.88071,-55.66911,0.9,0.6,40.77,0.8,0.043,4.3,23,65,6.12,87,0.05,16.4,25.952813067150668,81
SGL125,46.89559,-55.63379,1.1,6.8,559.25,0.8,0.019,2.4,23,91.6,6.73,62.1,0.03,20.22,30.11145272866979,7
SGL126,46.90152,-55.65267,1.3,6.2,2189.77,0.6,0.009,1.2,10,96.7,6.93,51.2,0.03,20.5,27.723440134907346,14
SGL127,46.86954,-55.78047,0.6,0.8,163,1.1,0.028,2,31,76.7,6.43,79.5,0.04,19.61,50.32133676092546,9
SGL128,46.87016,-55.80121,1.1,0.7,55,0.9,0.182,0.9,16,83,5.98,86.6,0.04,20.4,77.92553191489468,0
SGL129,46.9319,-55.57756,1.7,0.9,1140.37,0.8,0.011,1.2,17,91.2,6.34,37.4,0.02,20,35.98978288633416,2
SGL25,46.87645,-55.86106,0.95,5.5,28.13,0.6,0.023,0.1,11,98,6.22,3103.8,1.76,21.22,86.56945510360819,0
SGL100,46.87605,-55.85214,0.35,0.09,23,2,0.06,1,62,87.5,5.96,177.9,0.08,24.5,78.6929884275009,0
SGL26,46.88102,-55.86708,0.8,9.3,17,0.5,0.008,2.2,10,100.6,6.7,185,0.09,19.5,3.4643467453784824,15912
